"loan_id","age","annual_income","credit_score","loan_amount","loan_tenure_months","employment_type","dti_ratio","num_delinquencies","default","score_band"
"LN0001",58,666666,567,180351,12,"Government",0.3,3,0,"Poor"
"LN0002",22,884439,590,79583,60,"Salaried",0.25,2,0,"Fair"
"LN0003",46,732775,611,117484,60,"Self-Employed",0.12,2,0,"Fair"
"LN0004",31,385269,662,87830,36,"Self-Employed",0.62,1,0,"Fair"
"LN0005",57,460620,839,15320,48,"Salaried",0.61,0,0,"Excellent"
"LN0006",39,450774,576,136641,60,"Salaried",0.15,2,0,"Poor"
"LN0007",45,628315,477,197516,12,"Salaried",0.3,0,0,"Very Poor"
"LN0008",28,599211,640,108547,60,"Self-Employed",0.59,2,0,"Fair"
"LN0009",57,673588,583,185296,12,"Salaried",0.51,2,0,"Fair"
"LN0010",46,468531,476,210448,24,"Salaried",0.13,2,0,"Very Poor"
"LN0011",58,524731,580,140963,36,"Salaried",0.32,0,0,"Poor"
"LN0012",41,748272,620,112030,48,"Government",0.17,0,0,"Fair"
"LN0013",47,580079,562,93830,36,"Government",0.52,2,0,"Poor"
"LN0014",24,469142,707,127650,12,"Salaried",0.32,0,0,"Good"
"LN0015",62,794233,723,275137,48,"Self-Employed",0.44,0,0,"Good"
"LN0016",46,602699,624,157287,24,"Salaried",0.41,0,0,"Fair"
"LN0017",48,416693,531,113025,48,"Self-Employed",0.56,4,0,"Poor"
"LN0018",57,941938,698,113965,24,"Self-Employed",0.62,0,0,"Good"
"LN0019",58,366380,582,155848,24,"Salaried",0.54,0,0,"Fair"
"LN0020",52,243793,584,160508,60,"Salaried",0.13,0,0,"Fair"
"LN0021",26,180000,662,257651,60,"Self-Employed",0.46,0,0,"Fair"
"LN0022",41,730225,572,116131,48,"Self-Employed",0.06,0,0,"Poor"
"LN0023",55,493433,626,228155,24,"Salaried",0.26,1,0,"Fair"
"LN0024",49,544888,588,99522,12,"Salaried",0.1,2,0,"Fair"
"LN0025",61,657925,681,167580,60,"Salaried",0.25,0,0,"Good"
"LN0026",24,506703,582,122346,24,"Salaried",0.37,0,0,"Fair"
"LN0027",54,278388,582,230472,24,"Government",0.48,0,0,"Fair"
"LN0028",63,210043,573,261785,36,"Salaried",0.45,0,0,"Poor"
"LN0029",45,531860,651,272829,24,"Self-Employed",0.18,0,0,"Fair"
"LN0030",51,634945,747,204762,12,"Salaried",0.1,0,0,"Excellent"
"LN0031",64,180000,579,109572,48,"Self-Employed",0.58,0,0,"Poor"
"LN0032",36,658105,667,140061,24,"Self-Employed",0.49,2,0,"Fair"
"LN0033",43,684461,598,174107,60,"Salaried",0.49,0,0,"Fair"
"LN0034",29,858947,563,10000,48,"Salaried",0.39,0,0,"Poor"
"LN0035",57,632943,737,263632,24,"Salaried",0.46,0,0,"Good"
"LN0036",25,640991,604,64482,24,"Salaried",0.44,2,0,"Fair"
"LN0037",43,720921,780,113252,24,"Salaried",0.37,1,0,"Excellent"
"LN0038",39,596172,595,256533,48,"Self-Employed",0.44,1,0,"Fair"
"LN0039",49,584057,703,182782,36,"Salaried",0.55,5,0,"Good"
"LN0040",26,623197,739,187787,48,"Salaried",0.26,1,0,"Good"
"LN0041",25,748835,821,90024,12,"Salaried",0.42,0,0,"Excellent"
"LN0042",55,513742,584,21865,12,"Self-Employed",0.45,1,0,"Fair"
"LN0043",56,500094,656,86684,24,"Salaried",0.32,0,0,"Fair"
"LN0044",45,426968,725,190161,60,"Self-Employed",0.49,1,0,"Good"
"LN0045",44,408449,610,207376,24,"Self-Employed",0.27,2,0,"Fair"
"LN0046",47,665360,698,153468,36,"Salaried",0.07,0,0,"Good"
"LN0047",27,909474,616,118468,60,"Government",0.32,0,0,"Fair"
"LN0048",27,406228,559,180400,48,"Self-Employed",0.57,0,0,"Poor"
"LN0049",23,562312,471,100206,48,"Salaried",0.54,1,0,"Very Poor"
"LN0050",24,394000,691,190911,48,"Salaried",0.15,0,0,"Good"
"LN0051",42,781617,623,61890,48,"Salaried",0.4,0,0,"Fair"
